status,current,target,score,secondScore,sourceTitle,reason
skip,Supernova3 - Athena Amazon Onslaught_goodAAAA.mp4,,0.562,0.561,,no high-confidence title match
rename,Supernova30AlteredEgoPeril.mp4,Supernova 30 - Altered Ego (Peril).mp4,0.929,0.740,SS#131 – Supernova 30: Altered Ego (Peril),
skip,Supernova32.mp4,,0.667,0.606,,no high-confidence title match
rename,Supernova33 - Dark Fantasy.mp4,Supernova 33 - Dark Fantasy.mp4,0.980,0.696,SS#143 – Supernova 33: Dark Fantasy,
rename,Supernova34 Pr1ze PunIshment_AAAAAAAA.mp4,Supernova 34 - Prize & PunishmentAAA.mp4,0.885,0.806,VV#137 – Supernova 34: Prize & Punishment,
skip,Supernova35 Possibilities.mp4,,0.615,0.596,,no high-confidence title match
skip,Supernova36-ExtraFootage-Big.mp4,,0.691,0.686,,no high-confidence title match
rename,Supernova3_-_Enter_SuperkickAAAAA.wmv,Supernova 3 - Enter SuperkickAAA.wmv,0.981,0.765,SS#13 – Supernova 3: Enter Superkick,
skip,Supernova4_-_Vigilante_Justice.mp4,,0.982,0.982,,ambiguous title match
skip,Supernova6.mkv,,0.621,0.600,,no high-confidence title match
skip,Supernova6_Jail_Break_VV.mp4,,0.656,0.652,,no high-confidence title match
skip,Supernova7 Peril.mp4,,0.732,0.714,,no high-confidence title match
skip,Supernova8.mp4,,0.667,0.621,,no high-confidence title match
skip,Supernova9.mp4,,0.625,0.621,,no high-confidence title match
skip,Supernova_.mp4,,0.643,0.621,,no high-confidence title match
rename,Supernova_1_and_2_combined.mp4,Supernova 1 & 2 combined.mp4,1.000,0.833,VV#14 – Supernova 1 & 2 combined,
skip,Supernova_33.mp4,,0.667,0.645,,no high-confidence title match
skip,Supernova__.mp4,,0.643,0.621,,no high-confidence title match
skip,Supernova_AAAAA.mp4,,0.643,0.621,,no high-confidence title match
skip,SupernovaPrime3-SS.mp4,,0.727,0.711,,no high-confidence title match
rename,SYCC 10 Cover Girl Crisis.mp4,SYCC#10 - Cover Girl Crisis.mp4,1.000,0.558,SYCC#10 – Cover Girl Crisis,
rename,SYCC 9 Bad Breakup.mp4,SYCC#09 - Bad Break-Up.mp4,0.947,0.632,SYCC#09 – Bad Break-Up,
rename,SYCC Agent 006.mp4,SYCC#43 - Agent 006.mp4,0.903,0.516,SYCC#43 – Agent 006,
rename,SYCC Assignment Interrupted.mp4,SYCC#13 - Assignment Interrupted.mp4,0.947,0.533,SYCC#13 – Assignment Interrupted,
rename,SYCC Call_N_for_Murder.mp4,SYCC#55 - Call M For Murder.mp4,0.894,0.652,SYCC#55 – Call M For Murder,
rename,SYCC Dont Answer the door AAAAAA.mp4,SYCC#21 - Don't Answer the DoorAAA.mp4,0.926,0.604,SYCC#21 – Don’t Answer the Door,
skip,SYCC Scotland Yard Sweet Vengeance.mp4,,0.587,0.378,,no high-confidence title match
skip,SYCC Scotland Yard The Hitwoman.mp4,,0.383,0.369,,no high-confidence title match
rename,SYCC u+turn.mp4,SYCC#95 - U-Turn.mp4,0.880,0.621,SYCC#95 – U-Turn,
rename,SYCC_#74 - Downtime.mp4,SYCC#74 - Downtime.mp4,1.000,0.588,SYCC#74 – Downtime,
rename,SYCC_83 - Inspiration.mp4,SYCC#83 - Inspiration.mp4,1.000,0.636,SYCC#83 – Inspiration,
rename,SYCC_87 - Hydeaway.mp4,SYCC#87 - Hydeaway.mp4,1.000,0.667,SYCC#87 – Hydeaway,
skip,SYCC_AAAAA.mp4,,0.500,0.500,,no high-confidence title match
skip,SYCC_blackmail.mp4,,0.622,0.606,,no high-confidence title match
rename,SYCC_Blindsided by fear.mp4,SYCC#50 - Blindsided by Fear.mp4,0.939,0.634,SYCC#50 – Blindsided by Fear,
rename,SYCC_Classified.mp4,SYCC#05 - Classified.mp4,0.909,0.533,SYCC#05 – Classified,
rename,SYCC_Dont make that callAAAAAA.mp4,SYCC#15 - Don't Make That CallAAA.mp4,0.923,0.604,SYCC#15 – Don’t Make That Call,
skip,SYCC_Don’t Answer the DoorAAAA.mp4,SYCC#21 - Don't Answer the DoorAAA.mp4,0.945,0.630,SYCC#21 – Don’t Answer the Door,source missing or target exists at execution
skip,SYCC_Night_work.mp4,,0.857,0.615,,no high-confidence title match
rename,SYCC_Preempted plans.mp4,SYCC#41 - Preempted Plans.mp4,0.930,0.550,SYCC#41 – Preempted Plans,
skip,SYCC_SearchRecovery.mp4,,0.826,0.700,,no high-confidence title match
skip,SYCC_SelfPreservat0n.mp4,,0.844,0.564,,no high-confidence title match
rename,SYCC_The curious detective.mp4,SYCC#61 - The Curious Detective.mp4,0.945,0.622,SYCC#61 – The Curious Detective,
rename,SYCC_The untold story.mp4,SYCC#17 - The Untold Story.mp4,0.933,0.609,SYCC#17 – The Untold Story,
skip,SYCC_TheCuriousDetective.mp4,SYCC#61 - The Curious Detective.mp4,0.906,0.605,SYCC#61 – The Curious Detective,source missing or target exists at execution
skip,TeenBat 1 Baptism Of FireAAAAAA.mp4,,0.544,0.526,,no high-confidence title match
skip,TeenBat 1 Peril Version.mp4,,0.433,0.427,,no high-confidence title match
skip,TeenBat 2_vanquished.mp4,,0.826,0.701,,no high-confidence title match
skip,TeenBat 4 Targeted(1).avi,,0.773,0.694,,no high-confidence title match
skip,TeenBat 7.mp4,,0.443,0.421,,no high-confidence title match
skip,TeenBat 8.mp4,,0.443,0.421,,no high-confidence title match
skip,TeenBat Baptism of fireAAAA.mp4,,0.547,0.531,,no high-confidence title match
skip,TeenBat New kid in Town.mp4,,0.526,0.427,,no high-confidence title match
skip,TeenBat Victim of RRS.mp4,,0.783,0.674,,no high-confidence title match
skip,TeenBat_6.mp4,,0.443,0.421,,no high-confidence title match
skip,Teenbat_On_the_job_training.mp4,,0.797,0.707,,no high-confidence title match
skip,Teenbat_running_the_gauntlet.mp4,,0.799,0.712,,no high-confidence title match
rename,TeenWing Into the BreachAAAAAA.mp4,Teenwing - Into The BreachAAA.mp4,1.000,0.889,VV#108 – Teenwing: Into The Breach,
